Datetime,Adj Close,Close,High,Low,Open,Volume
2022-08-19 00:00:00+02:00,1.294700026512146,1.294700026512146,1.295050024986267,1.2941700220108032,1.294260025024414,0.0
2022-08-19 00:30:00+02:00,1.294600009918213,1.294600009918213,1.2949999570846558,1.2941999435424805,1.294800043106079,0.0
2022-08-19 01:00:00+02:00,1.2944899797439575,1.2944899797439575,1.2948299646377563,1.2941999435424805,1.2947299480438232,0.0
2022-08-19 01:30:00+02:00,1.294600009918213,1.294600009918213,1.2948999404907229,1.2942999601364136,1.294469952583313,0.0
2022-08-19 02:00:00+02:00,1.2958500385284424,1.2958500385284424,1.2959400415420532,1.2941999435424805,1.294700026512146,0.0
2022-08-19 02:30:00+02:00,1.2959599494934082,1.2959599494934082,1.2963000535964966,1.2950999736785889,1.2958999872207642,0.0
2022-08-19 03:00:00+02:00,1.2954399585723877,1.2954399585723877,1.2961000204086304,1.2950999736785889,1.295989990234375,0.0
2022-08-19 03:30:00+02:00,1.2960200309753418,1.2960200309753418,1.296679973602295,1.295199990272522,1.295490026473999,0.0
2022-08-19 04:00:00+02:00,1.295199990272522,1.295199990272522,1.2962100505828855,1.2948999404907229,1.2960000038146973,0.0
2022-08-19 04:30:00+02:00,1.294700026512146,1.294700026512146,1.295639991760254,1.2944999933242798,1.295330047607422,0.0
2022-08-19 05:00:00+02:00,1.294600009918213,1.294600009918213,1.295199990272522,1.294399976730347,1.2948399782180786,0.0
2022-08-19 05:30:00+02:00,1.295560002326965,1.295560002326965,1.2956000566482544,1.2944999933242798,1.2948100566864014,0.0
2022-08-19 06:00:00+02:00,1.295799970626831,1.295799970626831,1.2962599992752075,1.295199990272522,1.2955399751663208,0.0
2022-08-19 06:30:00+02:00,1.2961100339889526,1.2961100339889526,1.29613995552063,1.2955000400543213,1.2959599494934082,0.0
2022-08-19 07:00:00+02:00,1.2964099645614624,1.2964099645614624,1.29653000831604,1.2956000566482544,1.2961100339889526,0.0
2022-08-19 07:30:00+02:00,1.2958500385284424,1.2958500385284424,1.296679973602295,1.2954000234603882,1.2963600158691406,0.0
2022-08-19 08:00:00+02:00,1.2962199449539185,1.2962199449539185,1.2967000007629397,1.2955000400543213,1.2959200143814087,0.0
2022-08-19 08:30:00+02:00,1.2969900369644165,1.2969900369644165,1.2973699569702148,1.295799970626831,1.2962499856948853,0.0
2022-08-19 09:00:00+02:00,1.2975000143051147,1.2975000143051147,1.297760009765625,1.2963000535964966,1.2970000505447388,0.0
